a	ˈ aː
kast	kʰ ˈ a s t
kasta	kʰ ˈ a s t a
kastala	kʰ ˈ a s t a l a
kastalann	kʰ ˈ a s t a l a n
kastalanum	kʰ ˈ a s t a l a n ʏ m
kastanna	kʰ ˈ a s t a n a
kastar	kʰ ˈ a s t a r
kastað	kʰ ˈ a s t a ð
kastaði	kʰ ˈ a s t a ð ɪ
kastaðist	kʰ ˈ a s t a ð ɪ s t
kasti	kʰ ˈ a s t ɪ
kastið	kʰ ˈ a s t ɪ ð
kastljós	kʰ ˈ a s t l j ou s
kastljósi	kʰ ˈ a s t l j ou s ɪ
kastljósinu	kʰ ˈ a s t l j ou s ɪ n ʏ
kastljóss	kʰ ˈ a s t l j ou s
kaststöng	kʰ ˈa s t s t œy ŋ k
kata	kʰ ˈ aː t a
katalóníu	kʰ ˈ aː t a l ou n i j ʏ
katar	kʰ ˈ aː t a r
katastrófa	kʰ ˈ aː t a s t r ou f a
katastrófan	kʰ ˈaː t a s t r ou f a n
katastrófu	kʰ ˈ aː t a s t r ou f ʏ
katastrófum	kʰ ˈaː t a s t r ou f ʏ m
katastrófuna	kʰ ˈaː t a s t r ou f ʏ n a
katastrófunnar	kʰ ˈaː t a s t r ou f ʏ n a r
katastrófunni	kʰ ˈaː t a s t r ou f ʏ n ɪ
katastrófur	kʰ ˈaː t a s t r ou f ʏ r
kate	cʰ ˈ eiː t
katie	cʰ ˈ eiː t i
katla	kʰ ˈ a h t l a
katrín	kʰ ˈ aː t r i n
katrínar	kʰ ˈ aː t r i n a r
katrínu	kʰ ˈ aː t r i n ʏ
kattartungur	kʰ ˈa h t a r tʰ ˌu ŋ k ʏ r
kattasandur	kʰ ˈa h t a s ˌa n t ʏ r
kattategund	kʰ ˈa h t a tʰ ˌɛ ɣ ʏ n t
kattholti	kʰ ˈ a h t ɔ l̥ t ɪ
katy	kʰ ˈ eiː t i
kaun	kʰ ˈœyː n
kaup	kʰ ˈ œyː p
kaupa	kʰ ˈ œyː p a
kaupanda	kʰ ˈ œyː p a n t a
kaupandi	kʰ ˈ œyː p a n t ɪ
kaupandinn	kʰ ˈ œyː p a n t ɪ n
kaupangi	kʰ ˈ œyː p au ɲ c ɪ
kaupauka	kʰ ˈ œyː p œy k a
kaupbæti	kʰ ˈ œyː p p ai t ɪ
kaupenda	kʰ ˈ œyː p ɛ n t a
kaupendum	kʰ ˈ œyː p ɛ n t ʏ m
kaupendur	kʰ ˈ œyː p ɛ n t ʏ r
kaupfélag	kʰ ˈ œyː p f j ɛ l a ɣ
kaupfélagi	kʰ ˈ œyː p f j ɛ l ai j ɪ
kaupfélaginu	kʰ ˈ œyː p f j ɛ l ai j ɪ n ʏ
kaupfélagið	kʰ ˈ œyː p f j ɛ l ai j ɪ ð
kaupfélags	kʰ ˈ œyː p f j ɛ l a x s
kaupfélagsstjóri	kʰ ˈ œyː p f j ɛ l a x s s t j ˌ ou r ɪ
kaupgjald	kʰ ˈœyː p c a l t
kauphallar	kʰ ˈ œyː p h a t l a r
kauphallarinnar	kʰ ˈ œyː p h a t l a r ɪ n a r
kauphækkanir	kʰ ˈ œyː p h ai h k a n ɪ r
kauphækkun	kʰ ˈ œyː p h ai h k ʏ n
kauphöll	kʰ ˈ œyː p h œ t l̥
kauphöllin	kʰ ˈ œyː p h œ t l ɪ n
kauphöllina	kʰ ˈ œyː p h œ t l ɪ n a
kauphöllinni	kʰ ˈ œyː p h œ t l ɪ n ɪ
kauphöllum	kʰ ˈ œyː p h œ t l ʏ m
kaupi	kʰ ˈ œyː p ɪ
kaupin	kʰ ˈ œyː p ɪ n
kaupir	kʰ ˈ œyː p ɪ r
kaupið	kʰ ˈ œyː p ɪ ð
kauplaust	kʰ ˈ œyː p l œy s t
kaupmannahafnar	kʰ ˈ œyː p m a n a h ˌ a p n a r
kaupmannahafnarháskóla	kʰ ˈ œyː p m a n a h ˌ a p n a r h au s k ˌ ou l a
kaupmannahöfn	kʰ ˈ œyː p m a n a h ˌ œ p n̥
kaupmannsins	kʰ ˈ œyː p m a n s ɪ n s
kaupmaður	kʰ ˈ œyː p m a ð ʏ r
kaupmenn	kʰ ˈ œyː p m ɛ n
kaupmennirnir	kʰ ˈ œyː p m ɛ n ɪ r t n ɪ r
kaupmátt	kʰ ˈ œyː p m au h t
kaupmáttar	kʰ ˈ œyː p m au h t a r
kaupmáttarauka	kʰ ˈœyː p m au h t a r ˌœy k a
kaupmætti	kʰ ˈ œyː p m ai h t ɪ
kauprétt	kʰ ˈ œyː p r j ɛ h t
kaupréttarsamninga	kʰ ˈ œyː p r j ɛ h t a r s ˌ a m n i ŋ k a
kaups	kʰ ˈ œy p s
kaupsamning	kʰ ˈ œyː p s a m n i ŋ k
kaupsamninga	kʰ ˈ œyː p s a m n i ŋ k a
kaupsamningi	kʰ ˈ œyː p s a m n i ɲ c ɪ
kaupsamningnum	kʰ ˈ œyː p s a m n i ŋ n ʏ m
kaupsamnings	kʰ ˈ œyː p s a m n i ŋ s
kaupsamningsins	kʰ ˈ œyː p s a m n i ŋ s ɪ n s
kaupsamningum	kʰ ˈ œyː p s a m n i ŋ k ʏ m
kaupsamningur	kʰ ˈ œyː p s a m n i ŋ k ʏ r
kaupskipum	kʰ ˈ œyː p s c ɪ p ʏ m
kaupskipunum	kʰ ˈœyː p s c ɪ p ɔ n ʏ m
kaupskyldu	kʰ ˈ œyː p s c ɪ l t ʏ
kaupstað	kʰ ˈ œyː p s t a ð
kaupstaðarbúum	kʰ ˈœyː p s t a ð a r p ˌu ʏ m
kaupstöðum	kʰ ˈ œyː p s t œ ð ʏ m
kaupsýslumaður	kʰ ˈ œyː p s i s t l ʏ m ˌ a ð ʏ r
kaupsýslumenn	kʰ ˈ œyː p s i s t l ʏ m ˌ ɛ n
kaupthing	kʰ ˈ œyː p θ i ŋ k
kauptilboð	kʰ ˈ œyː p tʰ ɪ l p ɔ ð
kauptilboði	kʰ ˈ œyː p tʰ ɪ l p ɔ ð ɪ
kaupum	kʰ ˈ œyː p ʏ m
kaupunum	kʰ ˈ œyː p ɔ n ʏ m
kaupverð	kʰ ˈ œyː p v ɛ r ð
kaupverði	kʰ ˈ œyː p v ɛ r ð ɪ
kaupverðinu	kʰ ˈ œyː p v ɛ r ð ɪ n ʏ
kaupverðið	kʰ ˈ œyː p v ɛ r ð ɪ ð
kaupverðs	kʰ ˈ œyː p v ɛ r ð s
kaupverðsins	kʰ ˈ œyː p v ɛ r ð s ɪ n s
kaupþing	kʰ ˈ œyː p θ i ŋ k
kaupþingi	kʰ ˈ œyː p θ i ɲ c ɪ
kaupþings	kʰ ˈ œyː p θ i ŋ s
kaus	kʰ ˈ œyː s
kaust	kʰ ˈ œy s t
kaíró	kʰ ˈ aiː r ou
kaðal	kʰ ˈ aː ð a l
kaðlín	kʰ ˈa ð l i n
kaþólska	kʰ ˈ aː θ ou l s k a
kaþólskir	kʰ ˈ aː θ ou l s c ɪ r
kaþólsku	kʰ ˈ aː θ ou l s k ʏ
kaþólskur	kʰ ˈ aː θ ou l s k ʏ r
kea	cʰ ˈ ɛː a
keane	cʰ ˈ iː n
keegan	cʰ ˈ iː k a n
keep	cʰ ˈ i p
keeping	cʰ ˈ i p i ŋ
kefas	cʰ ˈɛː f a s
keflavík	cʰ ˈ ɛ p l a v ˌ i k
keflavíkur	cʰ ˈ ɛ p l a v ˌ i k ʏ r
keflavíkurflugvallar	cʰ ˈ ɛ p l a v i k ʏ r f l ˌ ʏ ɣ v a t l a r
keflavíkurflugvelli	cʰ ˈ ɛ p l a v i k ʏ r f l ˌ ʏ ɣ v ɛ t l ɪ
keflavíkurflugvöll	cʰ ˈ ɛ p l a v i k ʏ r f l ˌ ʏ ɣ v œ t l̥
keflavíkurflugvöllur	cʰ ˈ ɛ p l a v i k ʏ r f l ˌ ʏ ɣ v œ t l ʏ r
keflavíkurkirkju	cʰ ˈ ɛ p l a v i k ʏ r cʰ ˌ ɪ r̥ c ʏ
keflinu	cʰ ˈ ɛ p l ɪ n ʏ
keflvíkinga	cʰ ˈ ɛ p l v i c i ŋ k a
keflvíkingar	cʰ ˈ ɛ p l v i c i ŋ k a r
keflvíkingum	cʰ ˈ ɛ p l v i c i ŋ k ʏ m
keila	cʰ ˈ eiː l a
keili	cʰ ˈ eiː l ɪ
keilir	cʰ ˈ eiː l ɪ r
keilis	cʰ ˈ eiː l ɪ s
keilu	cʰ ˈ eiː l ʏ
keilukvöldi	cʰ ˈeiː l ʏ kʰ v ˌœ l t ɪ
keim	cʰ ˈ eiː m
keip	cʰ ˈ eiː p
keisara	cʰ ˈ eiː s a r a
keisarans	cʰ ˈ eiː s a r a n s
keisari	cʰ ˈ eiː s a r ɪ
keita	cʰ ˈ eiː t a
keith	cʰ ˈ i θ
keldnaholti	cʰ ˈ ɛ l t n a h ˌ ɔ l̥ t ɪ
kelduhverfi	cʰ ˈ ɛ l t ʏ kʰ v ˌ ɛ r v ɪ
keldum	cʰ ˈ ɛ l t ʏ m
keli	cʰ ˈ ɛː l ɪ
kelling	cʰ ˈ ɛ t l i ŋ k
kellingar	cʰ ˈ ɛ t l i ŋ k a r
kellingu	cʰ ˈ ɛ t l i ŋ k ʏ
kellogg	cʰ ˈ ɛ l ɔ k
kelly	cʰ ˈ ɛ l i
kellý	cʰ ˈɛ l i
kem	cʰ ˈ ɛː m
kempan	cʰ ˈ ɛ m̥ p a n
kemst	cʰ ˈ ɛ m s t
kemur	cʰ ˈ ɛː m ʏ r
ken	cʰ ˈ ɛː n
kengbogin	cʰ ˈei ŋ k p ɔi j ɪ n
kengboginn	cʰ ˈei ŋ k p ɔi j ɪ n
kengúru	cʰ ˈ ei ŋ k u r ʏ
kenna	cʰ ˈ ɛ n a
kennara	cʰ ˈ ɛ n a r a
kennaradeildar	cʰ ˈ ɛ n a r a t ˌ ei l t a r
kennaraháskóla	cʰ ˈ ɛ n a r a h ˌ au s k ou l a
kennarana	cʰ ˈ ɛ n a r a n a
kennaranna	cʰ ˈ ɛ n a r a n a
kennarans	cʰ ˈ ɛ n a r a n s
kennaraprófi	cʰ ˈ ɛ n a r a pʰ r ˌ ou v ɪ
kennarar	cʰ ˈ ɛ n a r a r
kennararnir	cʰ ˈ ɛ n a r a r t n ɪ r
kennarasambands	cʰ ˈ ɛ n a r a s ˌ a m p a n t s
kennarasambandsins	cʰ ˈ ɛ n a r a s ˌ a m p a n t s ɪ n s
kennaraskipta	cʰ ˈɛ n a r a s c ˌɪ f t a
kennaraskólann	cʰ ˈ ɛ n a r a s k ˌ ou l a n
kennarastarfið	cʰ ˈ ɛ n a r a s t ˌ a r v ɪ ð
kennarastofunni	cʰ ˈ ɛ n a r a s t ˌ ɔ v ʏ n ɪ
kennarastöðu	cʰ ˈ ɛ n a r a s t ˌ œ ð ʏ
kennaratyggjó	cʰ ˈɛ n a r a tʰ ˌɪ c ou
kennaratölva	cʰ ˈɛ n a r a tʰ ˌœ l v a
kennari	cʰ ˈ ɛ n a r ɪ
kennarinn	cʰ ˈ ɛ n a r ɪ n
kennd	cʰ ˈ ɛ n t
kennda	cʰ ˈ ɛ n t a
kenndar	cʰ ˈ ɛ n t a r
kenndi	cʰ ˈ ɛ n t ɪ
kenndir	cʰ ˈ ɛ n t ɪ r
kenndu	cʰ ˈ ɛ n t ʏ
kenndum	cʰ ˈ ɛ n t ʏ m
kenndur	cʰ ˈ ɛ n t ʏ r
kennedy	cʰ ˈ ɛ n ɛ t i
kenneth	cʰ ˈ ɛ n ɛ θ
kenni	cʰ ˈ ɛ n ɪ
kennileiti	cʰ ˈ ɛ n ɪ l ˌ ei t ɪ
kenning	cʰ ˈ ɛ n i ŋ k
kenninga	cʰ ˈ ɛ n i ŋ k a
kenningar	cʰ ˈ ɛ n i ŋ k a r
kenningin	cʰ ˈ ɛ n i ɲ c ɪ n
kenningu	cʰ ˈ ɛ n i ŋ k ʏ
kenningum	cʰ ˈ ɛ n i ŋ k ʏ m
kennir	cʰ ˈ ɛ n ɪ r
kennitala	cʰ ˈ ɛ n ɪ tʰ ˌ a l a
kennitölu	cʰ ˈ ɛ n ɪ tʰ ˌ œ l ʏ
kennitölur	cʰ ˈ ɛ n ɪ tʰ ˌ œ l ʏ r
kennsl	cʰ ˈ ɛ n s t l̥
kennsla	cʰ ˈ ɛ n s t l a
kennslan	cʰ ˈ ɛ n s t l a n
kennslu	cʰ ˈ ɛ n s t l ʏ
kennslubækur	cʰ ˈ ɛ n s t l ʏ p ˌ ai k ʏ r
kennslubók	cʰ ˈ ɛ n s t l ʏ p ˌ ou k
kennsluforrit	cʰ ˈ ɛ n s t l ʏ f ˌ ɔ r ɪ t
kennsluforritum	cʰ ˈɛ n s t l ʏ f ˌɔ r ɪ t ʏ m
kennslufræði	cʰ ˈ ɛ n s t l ʏ f r ˌ ai ð ɪ
kennslugrein	cʰ ˈ ɛ n s t l ʏ k r ˌ ei n
kennslugögn	cʰ ˈ ɛ n s t l ʏ k ˌ œ k n̥
kennslukona	cʰ ˈ ɛ n s t l ʏ kʰ ˌ ɔ n a
kennslukonan	cʰ ˈ ɛ n s t l ʏ kʰ ˌ ɔ n a n
kennsluna	cʰ ˈ ɛ n s t l ʏ n a
kennslunnar	cʰ ˈ ɛ n s t l ʏ n a r
kennslunni	cʰ ˈ ɛ n s t l ʏ n ɪ
kennsluskiptum	cʰ ˈɛ n s t l ʏ s c ˌɪ f t ʏ m
kennsluskyldu	cʰ ˈ ɛ n s t l ʏ s c ˌ ɪ l t ʏ
kennslustofum	cʰ ˈ ɛ n s t l ʏ s t ɔ v ʏ m
kennslustund	cʰ ˈ ɛ n s t l ʏ s t ˌ ʏ n t
kennslustundir	cʰ ˈ ɛ n s t l ʏ s t ˌ ʏ n t ɪ r
kennslustundum	cʰ ˈ ɛ n s t l ʏ s t ˌ ʏ n t ʏ m
kennt	cʰ ˈ ɛ n̥ t
kennurum	cʰ ˈ ɛ n ʏ r ʏ m
kennurunum	cʰ ˈ ɛ n ɔ r ɔ n ʏ m
kenny	cʰ ˈ ɛ n i
kent	cʰ ˈ ɛ n t
kenía	cʰ ˈ ɛː n i j a
kenýa	cʰ ˈ ɛː n i j a
kepp	cʰ ˈ ɛ h p
keppa	cʰ ˈ ɛ h p a
keppanda	cʰ ˈ ɛ h p a n t a
keppandi	cʰ ˈ ɛ h p a n t ɪ
keppandinn	cʰ ˈ ɛ h p a n t ɪ n
keppast	cʰ ˈ ɛ h p a s t
keppenda	cʰ ˈ ɛ h p ɛ n t a
keppendum	cʰ ˈ ɛ h p ɛ n t ʏ m
keppendur	cʰ ˈ ɛ h p ɛ n t ʏ r
keppendurnir	cʰ ˈ ɛ h p ɛ n t ʏ r t n ɪ r
keppi	cʰ ˈ ɛ h p ɪ
keppikefli	cʰ ˈ ɛ h p ɪ cʰ ˌ ɛ p l ɪ
keppinaut	cʰ ˈ ɛ h p ɪ n ˌ œy t
keppinauta	cʰ ˈ ɛ h p ɪ n ˌ œy t a
keppinautar	cʰ ˈ ɛ h p ɪ n ˌ œy t a r
keppinautarnir	cʰ ˈ ɛ h p ɪ n ˌ œy t a r t n ɪ r
keppinautum	cʰ ˈ ɛ h p ɪ n ˌ œy t ʏ m
keppinautur	cʰ ˈ ɛ h p ɪ n ˌ œy t ʏ r
keppir	cʰ ˈ ɛ h p ɪ r
keppist	cʰ ˈ ɛ h p ɪ s t
keppni	cʰ ˈ ɛ h p n ɪ
keppnin	cʰ ˈ ɛ h p n ɪ n
keppninnar	cʰ ˈ ɛ h p n ɪ n a r
keppninni	cʰ ˈ ɛ h p n ɪ n ɪ
keppnir	cʰ ˈ ɛ h p n ɪ r
keppnirnar	cʰ ˈ ɛ h p n ɪ r t n a r
keppnisbann	cʰ ˈ ɛ h p n ɪ s p ˌ a n
keppnisdagatal	cʰ ˈɛ h p n ɪ s t a ɣ a tʰ ˌa l
keppnisdegi	cʰ ˈ ɛ h p n ɪ s t ˌ ei j ɪ
keppnisferðir	cʰ ˈ ɛ h p n ɪ s f ˌ ɛ r ð ɪ r
keppnisflokki	cʰ ˈ ɛ h p n ɪ s f l ˌ ɔ h c ɪ
keppnishlé	cʰ ˈɛ h p n ɪ s l̥ j ˌɛ
keppnislegur	cʰ ˈɛ h p n ɪ s l ˌɛ ɣ ʏ r
keppnisliðin	cʰ ˈ ɛ h p n ɪ s l ˌ ɪ ð ɪ n
keppnismaður	cʰ ˈ ɛ h p n ɪ s m ˌ a ð ʏ r
keppnisrétt	cʰ ˈ ɛ h p n ɪ s r j ˌ ɛ h t
keppnisréttur	cʰ ˈɛ h p n ɪ s r j ˌɛ h t ʏ r
keppnisskráningunni	cʰ ˈɛ h p n ɪ s s k r au n i ŋ k ʏ n ɪ
keppnistímabil	cʰ ˈ ɛ h p n ɪ s tʰ ˌ i m a p ɪ l
keppnistímabili	cʰ ˈ ɛ h p n ɪ s tʰ ˌ i m a p ɪ l ɪ
keppnistímabilinu	cʰ ˈ ɛ h p n ɪ s tʰ ˌ i m a p ɪ l ɪ n ʏ
keppnistímabilið	cʰ ˈ ɛ h p n ɪ s tʰ ˌ i m a p ɪ l ɪ ð
keppnum	cʰ ˈ ɛ h p n ʏ m
keppst	cʰ ˈ ɛ h p s t
keppt	cʰ ˈ ɛ f t
keppti	cʰ ˈ ɛ f t ɪ
kepptu	cʰ ˈ ɛ f t ʏ
kepptust	cʰ ˈ ɛ f t ʏ s t
kept	cʰ ˈ ɛ p t
ker	cʰ ˈ ɛː r
keramik	cʰ ˈ ɛː r a m ɪ k
keramikklúbb	cʰ ˈɛː r a m ɪ k kʰ l u p
kerfi	cʰ ˈ ɛ r v ɪ
kerfin	cʰ ˈ ɛ r v ɪ n
kerfinu	cʰ ˈ ɛ r v ɪ n ʏ
kerfis	cʰ ˈ ɛ r v ɪ s
kerfisbreytingar	cʰ ˈ ɛ r v ɪ s p r ˌ ei t i ŋ k a r
kerfisbundin	cʰ ˈ ɛ r v ɪ s p ˌ ʏ n t ɪ n
kerfisbundins	cʰ ˈ ɛ r v ɪ s p ˌ ʏ n t ɪ n s
kerfisbundið	cʰ ˈ ɛ r v ɪ s p ˌ ʏ n t ɪ ð
kerfisfræðilegan	cʰ ˈɛ r v ɪ s f r ai ð ɪ l ɛ ɣ a n
kerfisins	cʰ ˈ ɛ r v ɪ s ɪ n s
kerfislýsingu	cʰ ˈɛ r v ɪ s l ˌi s i ŋ k ʏ
kerfisstjórar	cʰ ˈ ɛ r v ɪ s s t j ou r a r
kerfisstjórnun	cʰ ˈ ɛ r v ɪ s s t j ˌ ou r t n ʏ n
kerfið	cʰ ˈ ɛ r v ɪ ð
kerfum	cʰ ˈ ɛ r v ʏ m
kerjum	cʰ ˈ ɛ r j ʏ m
kerlan	cʰ ˈɛ r t l a n
kerling	cʰ ˈ ɛ r t l i ŋ k
kerlingafjöll	cʰ ˈ ɛ r t l i ŋ k a f j ˌ œ t l̥
kerlingafjöllum	cʰ ˈ ɛ r t l i ŋ k a f j ˌ œ t l ʏ m
kerlingar	cʰ ˈ ɛ r t l i ŋ k a r
kerlingarnar	cʰ ˈ ɛ r t l i ŋ k a r t n a r
kerlingum	cʰ ˈɛ r t l i ŋ k ʏ m
kerlinguna	cʰ ˈ ɛ r t l i ŋ k ʏ n a
kerr	cʰ ˈ ɛ r
kerra	cʰ ˈ ɛ r a
kerran	cʰ ˈ ɛ r a n
kerrti	cʰ ˈɛ r t ɪ
kerru	cʰ ˈ ɛ r ʏ
kerrur	cʰ ˈ ɛ r ʏ r
kerry	cʰ ˈ ɛ r i
kerskni	cʰ ˈ ɛ r̥ s k n ɪ
kerta	cʰ ˈ ɛ r̥ t a
kertaljós	cʰ ˈ ɛ r̥ t a l j ˌ ou s
kertamynd	cʰ ˈɛ r̥ t a m ˌɪ n t
kertastjaki	cʰ ˈ ɛ r̥ t a s t j a c ɪ
kerti	cʰ ˈ ɛ r̥ t ɪ
kertin	cʰ ˈ ɛ r̥ t ɪ n
kertið	cʰ ˈ ɛ r̥ t ɪ ð
kertum	cʰ ˈ ɛ r̥ t ʏ m
ket	cʰ ˈ ɛː t
ketildalir	cʰ ˈɛː t ɪ l t ˌa l ɪ r
ketilinn	cʰ ˈ ɛː t ɪ l ɪ n
ketill	cʰ ˈ ɛː t ɪ t l̥
ketilsdóttir	cʰ ˈ ɛː t ɪ l s t ˌ ou h t ɪ r
ketilsson	cʰ ˈ ɛː t ɪ l s s ˌ ɔ n
ketti	cʰ ˈ ɛ h t ɪ
kettir	cʰ ˈ ɛ h t ɪ r
kettirnir	cʰ ˈ ɛ h t ɪ r t n ɪ r
kettlingar	cʰ ˈ ɛ h t l i ŋ k a r
kettlinginn	cʰ ˈ ɛ h t l i ɲ c ɪ n
kettlingnum	cʰ ˈ ɛ h t l i ŋ n ʏ m
kettlingur	cʰ ˈ ɛ h t l i ŋ k ʏ r
kevin	cʰ ˈ ɛ v ɪ n
kex	cʰ ˈ ɛ k s
kexið	cʰ ˈ ɛ k s ɪ ð
kexkökur	cʰ ˈ ɛ k s kʰ œ k ʏ r
kexpakkinn	cʰ ˈɛ k s pʰ a h c ɪ n
key	cʰ ˈ iː
keyboard	cʰ ˈiː p ɔ r t
keypt	cʰ ˈ ei f t
keypta	cʰ ˈ ei f t a
keyptar	cʰ ˈ ei f t a r
keypti	cʰ ˈ ei f t ɪ
keyptir	cʰ ˈ ei f t ɪ r
keyptirðu	cʰ ˈei f t ɪ r ð ʏ
keyptu	cʰ ˈ ei f t ʏ
keyptum	cʰ ˈ ei f t ʏ m
keyptur	cʰ ˈ ei f t ʏ r
keyra	cʰ ˈ eiː r a
keyri	cʰ ˈ eiː r ɪ
keyrir	cʰ ˈ eiː r ɪ r
keyrslu	cʰ ˈ ei r̥ s t l ʏ
keyrt	cʰ ˈ ei r̥ t
keyrð	cʰ ˈ ei r ð
keyrði	cʰ ˈ ei r ð ɪ
keyrðu	cʰ ˈ ei r ð ʏ
keyrðum	cʰ ˈ ei r ð ʏ m
keyrður	cʰ ˈ ei r ð ʏ r
keys	cʰ ˈ iː s
keðja	cʰ ˈ ɛ ð j a
keðjan	cʰ ˈ ɛ ð j a n
keðjanna	cʰ ˈ ɛ ð j a n a
keðju	cʰ ˈ ɛ ð j ʏ
keðjunnar	cʰ ˈ ɛ ð j ʏ n a r
keðjur	cʰ ˈ ɛ ð j ʏ r
keðjureykti	cʰ ˈɛ ð j ʏ r ˌei x t ɪ
kfuk	kʰ v ˈɛː k
kfum	kʰ ˈ auː ɛː f ʏ m
kfí	kʰ ˈauː iː
khan	k h ˈ aː n
khí	kʰ ˈ auː kʰ h i
ki	cʰ ˈ iː
kia	cʰ ˈ iː j a
kick	cʰ ˈ ɪ h k
kid	cʰ ˈ ɪː t
kidda	cʰ ˈ ɪ t a
kiddi	cʰ ˈ ɪ t ɪ
kidman	cʰ ˈ ɪ t m a n
kids	cʰ ˈ ɪ t s
kiel	cʰ ˈ i l
kieran	cʰ ˈ ɛː r a n
kiev	cʰ ˈ i j ɛ v
kikna	cʰ ˈ ɪ h k n a
kili	cʰ ˈ ɪː l ɪ
kiljan	cʰ ˈ ɪ l j a n
kilju	cʰ ˈ ɪ l j ʏ
kill	cʰ ˈ ɪ l
killed	cʰ ˈ ɪ l t
killer	cʰ ˈ ɪ l ɛ r
killers	cʰ ˈ ɪ l ɛ r̥ s
killing	cʰ ˈ ɪ l i ŋ
kim	cʰ ˈ ɪ m
kima	cʰ ˈ ɪː m a
kimi	cʰ ˈ ɪː m ɪ
kind	cʰ ˈ ɪ n t
kindahausar	cʰ ˈɪ n t a h ˌœy s a r
kindakjöt	cʰ ˈ ɪ n t a cʰ ˌ œ t
kindakjöts	cʰ ˈ ɪ n t a cʰ ˌ œ t s
kindanna	cʰ ˈ ɪ n t a n a
kindum	cʰ ˈ ɪ n t ʏ m
kindur	cʰ ˈ ɪ n t ʏ r
kindurnar	cʰ ˈ ɪ n t ʏ r t n a r
king	cʰ ˈ i ŋ k
king's	cʰ ˈ i ŋ s
kingdom	cʰ ˈ i ŋ t ɔ m
kings	cʰ ˈ i ŋ s
kinka	cʰ ˈ i ŋ̊ k a
kinkar	cʰ ˈ i ŋ̊ k a r
kinkað	cʰ ˈ i ŋ̊ k a ð
kinkaði	cʰ ˈ i ŋ̊ k a ð ɪ
kinks	cʰ ˈ i ŋ̊ k s
kinkuðum	cʰ ˈi ŋ̊ k ʏ ð ʏ m
kinn	cʰ ˈ ɪ n
kinnarnar	cʰ ˈ ɪ n a r t n a r
kinnbeinin	cʰ ˈ ɪ n p ei n ɪ n
kinninni	cʰ ˈ ɪ n ɪ n ɪ
kinnskjótt	cʰ ˈɪ n s c ou h t
kinnum	cʰ ˈ ɪ n ʏ m
kipp	cʰ ˈ ɪ h p
kippa	cʰ ˈ ɪ h p a
kippast	cʰ ˈ ɪ h p a s t
kippi	cʰ ˈ ɪ h p ɪ
kippir	cʰ ˈ ɪ h p ɪ r
kippt	cʰ ˈ ɪ f t
kippti	cʰ ˈ ɪ f t ɪ
kipptist	cʰ ˈ ɪ f t ɪ s t
kipptu	cʰ ˈ ɪ f t ʏ
kippur	cʰ ˈ ɪ h p ʏ r
kipraði	cʰ ˈɪː p r a ð ɪ
kirfilega	cʰ ˈ ɪ r v ɪ l ˌ ɛ ɣ a
kirkja	cʰ ˈ ɪ r̥ c a
kirkjan	cʰ ˈ ɪ r̥ c a n
kirkju	cʰ ˈ ɪ r̥ c ʏ
kirkjubraut	cʰ ˈ ɪ r̥ c ʏ p r ˌ œy t
kirkjubæ	cʰ ˈ ɪ r̥ c ʏ p ai
kirkjubæjarklaustri	cʰ ˈ ɪ r̥ c ʏ p ai j a r kʰ l ˌ œy s t r ɪ
kirkjubæjarklausturs	cʰ ˈ ɪ r̥ c ʏ p ai j a r kʰ l œy s t ʏ r̥ s
kirkjudagur	cʰ ˈɪ r̥ c ʏ t ˌa ɣ ʏ r
kirkjudyrnar	cʰ ˈɪ r̥ c ʏ t ˌɪ r t n a r
kirkjudyrunum	cʰ ˈɪ r̥ c ʏ t ˌɪ r ɔ n ʏ m
kirkjugarð	cʰ ˈ ɪ r̥ c ʏ k ˌ a r ð
kirkjugarða	cʰ ˈ ɪ r̥ c ʏ k ˌ a r ð a
kirkjugarðinn	cʰ ˈ ɪ r̥ c ʏ k ˌ a r ð ɪ n
kirkjugarðinum	cʰ ˈ ɪ r̥ c ʏ k ˌ a r ð ɪ n ʏ m
kirkjugarðsfélaginu	cʰ ˈɪ r̥ c ʏ k a r θ s f j ˌɛ l ai j ɪ n ʏ
kirkjugarðsins	cʰ ˈ ɪ r̥ c ʏ k ˌ a r ð s ɪ n s
kirkjugarðsvegginn	cʰ ˈɪ r̥ c ʏ k a r θ s v ˌɛ c ɪ n
kirkjugarður	cʰ ˈ ɪ r̥ c ʏ k ˌ a r ð ʏ r
kirkjugarðurinn	cʰ ˈ ɪ r̥ c ʏ k a r ð ʏ r ɪ n
kirkjugata	cʰ ˈɪ r̥ c ʏ k ˌa t a
kirkjugestir	cʰ ˈ ɪ r̥ c ʏ c ˌ ɛ s t ɪ r
kirkjugestum	cʰ ˈ ɪ r̥ c ʏ c ˌ ɛ s t ʏ m
kirkjugólfið	cʰ ˈ ɪ r̥ c ʏ k ˌ ou l v ɪ ð
kirkjugörðum	cʰ ˈ ɪ r̥ c ʏ k ˌ œ r ð ʏ m
kirkjuhvamms	cʰ ˈɪ r̥ c ʏ kʰ v ˌa m s
kirkjuhvoli	cʰ ˈ ɪ r̥ c ʏ kʰ v ˌ ɔ l ɪ
kirkjuklukkurnar	cʰ ˈ ɪ r̥ c ʏ kʰ l ʏ h k ʏ r t n a r
kirkjukrakkafundur	cʰ ˈɪ r̥ c ʏ kʰ r a h k a f ʏ n t ʏ r
