aaron	a: r O n
leikhúslífi	l ei: k h u s t l i v I
leikhúss	l ei: k h u s
leiki	l ei: c I
leikin	l ei: c I n
leikina	l ei: c I n a
leikinn	l ei: c I n
leikir	l ei: c I r
leikið	l ei: c I D
leikja	l ei: c a
leikjatölvu	l ei: c a t_h 9 l v Y
leikjum	l ei: c Y m
leikjunum	l ei: c O n Y m
leikkafli	l ei: k_h a p l I
leikkona	l ei: k O n a
leikkonan	l ei k_h O n a n
leikkonuna	l ei: k_h O n Y n a
leikkonunnar	l ei: k_h O n Y n a r
leikkonur	l ei: k_h O n Y r
leiklistarhæfileika	l ei: k l I s t a r_0 h ai v I l ei k a
leiklistarskóla	l ei: k l I s t a r_0 s k ou l a
leikmannahóp	l ei k m a n a h ou p
leikmannahópi	l ei k m a n a h ou p I
leikmannahópnum	l ei: k m a n a h ou h p n Y m
leikmannaskipti	l ei: k m a n a s c I f t I
leikmanninn	l ei k m a n I n
leikmenn	l ei: k m E n
leikmennina	l ei: k m E n I n a
leikmunageymslu	l ei: k m Y n a c ei m s t l Y
leikmönnum	l ei: k m 9 n Y m
leikni	l ei h k n I
leiknir	l ei h k n I r
leiknum	l ei h k n Y m
leikreglna	l ei: k r E k l n a
leikreglum	l ei: k r E k l Y m
leikrit	l ei: k r I t
leikrita	l ei: k r I t a
leikritasafn	l ei: k r I t a s a p n_0
leikriti	l ei: k r I t I
leikritinu	l ei: k r I t I n Y
leikritið	l ei: k r I t I D
leikritum	l ei: k r I t Y m
leikrænni	l ei: k r ai t n I
leiks	l ei k s
leiksins	l ei k s I n s
leikskólabarna	l ei: k s k ou l a p a r t n a
leikskólakennari	l ei: k s k ou l a c_h E n a r I
leikskólanefnd	l ei: k s k ou l a n E m t
leikskólanum	l ei k s k ou l a n Y m
leikskólum	l ei: k s k ou l Y m
leikslok	l ei k s t l O k
leiksloka	l ei k s t l O k a
leikstjóra	l ei: k s t j ou r a
leikstjórinn	l ei k s t j ou r I n
leikstíll	l ei: k s t i t l_0
leikstýrt	l ei: k s t i r_0 t
leiksýning	l ei: k s i n i N k
leiksýningu	l ei: k s i n i N k Y
leiksýningum	l ei: k s i n i N k Y m
leiktilþrif	l ei: k t_h I l T r I f
leiktu	l ei x t Y
leiktæki	l ei: k t_h ai c I
leiktíma	l ei: k t_h i m a
leiktíð	l ei: k t_h i D
leiktíðar	l ei: k t_h i D a r
leiktíðinni	l ei: k t_h i D I n I
leikunum	l ei: k O n Y m
leikurinn	l ei: k Y r I n
leikvanginn	l ei: k v au J c I n
leikvanginum	l ei: k v au J c I n Y m
leikvelli	l ei: k v E t l I
leikvellinum	l ei: k v E t l I n Y m
leikverk	l ei: k v E r_0 k
leirklessa	l ei: r k_h l E s a
leirpyttir	l ei: r p_h I h t I r
leirtau	l ei r_0 t_h 9i
leist	l ei s t
leita	l ei: t a
leitarkönguló	l ei: t a r_0 k_h 9i N k Y l ou
leitarstjórinn	l ei: t a r_0 s t j ou r I n
leitað	l ei: t a D
leiti	l ei: t I
leitin	l ei: t I n
leitinni	l ei: t I n I
leitt	l ei h t
leið	l ei: D
leiða	l ei: D a
leiðandi	l ei: D a n t I
leiðangurinn	l ei: D au N k Y r I n
leiðar	l ei: D a r
leiðara	l ei: D a r a
leiðarsteinninn	l ei: D a r_0 s t ei t n I n
leiðbeina	l ei D p ei n a
leiðbeinandi	l ei D p ei n a n t I
leiðbeiningarnar	l ei D p ei n i N k a r t n a r
leiðbeiningarreglum	l ei D p ei n i N k a r E k l Y m
leiðbeiningarstöð	l ei D p ei n i N k a r_0 s t 9 D
leiðbeiningum	l ei D p ei n i N k Y m
leiðigjarnt	l ei: D I c a n_0 t
leiðin	l ei: D I n
leiðina	l ei: D I n a
leiðinlega	l ei: D I n l E G a
leiðinlegir	l ei: D I n l ei j I r
leiðinlegri	l ei: D I n l E G r I
leiðinlegt	l ei: D I n l E x t
leiðinni	l ei: D I n I
leiðir	l ei: D I r
leiðrétt	l ei D r j E h t
leiðréttingar	l ei D r j E h t i N k a r
leiðréttingu	l ei D r j E h t i N k Y
leiðsögn	l ei D s 9 k n_0
leiðtoga	l ei D t_h O G a
leiðtogaskóli	l ei D t_h O G a s k ou l I
leka	l E: k a
leki	l E: c I
lekið	l E: c I D
lektor	l E x t O r
lemgo	l E m k ou
lemja	l E m j a
lendi	l E n t I
lendingu	l E n t i N k Y
lengd	l ei N t
lengdar	l ei N t a r
lengdinni	l ei N t I n I
lengdist	l ei N t I s t
lengdur	l ei N t Y r
lengdust	l ei N t Y s t
lengi	l ei J c I
lenging	l ei J c i N k
lengingu	l ei J c i N k Y
lengir	l ei J c I r
lengja	l ei J c a
lengra	l ei N k r a
lengri	l ei N k r I
lengsta	l ei N s t a
lengstra	l ei N s t r a
lengstu	l ei N s t Y
lengstum	l ei N s t Y m
lengstur	l ei N s t Y r
lengt	l ei N_0 t
lengur	l ei N k Y r
lennart	l E n a r_0 t
lennon	l E n O n
lent	l E n_0 t
lenti	l E n_0 t I
lentu	l E n_0 t Y
lepja	l E: p j a
leppana	l E h p a n a
lerki	l E r_0 c I
lesendum	l E: s E n t Y m
lesendur	l E: s E n t Y r
lesinn	l E: s I n
lesna	l E s t n a
lesnar	l E s t n a r
lesning	l E s t n i N k
lestarinnar	l E s t a r I n a r
lestarklefanum	l E s t a r_0 k_h l E v a n Y m
lestarlúgu	l E s t a r l u G Y
lestarstjórinn	l E s t a r_0 s t j ou r I n
lestri	l E s t r I
letri	l E: t r I
letrið	l E: t r I D
lettlandi	l E h t l a n t I
lettlands	l E h t l a n t s
leverkusen	l E: v E r k_h Y s E n
leví	l E: v i
leyfi	l ei: v I
leyfilegt	l ei: v I l E x t
leyfir	l ei: v I r
leyfis	l ei: v I s
leyfið	l ei: v I D
leyfum	l ei: v Y m
leyfði	l ei v D I
leyfðu	l ei v D Y
leyndarskráningu	l ei n t a r_0 s k r au n i N k Y
leynilegt	l ei: n I l E x t
leynilögregluna	l ei: n I l 9 G r E k l Y n a
leynilögreglustjórans	l ei: n I l 9 G r E k l Y s t j ou r a n s
leynt	l ei n_0 t
leysti	l ei s t I
leystur	l ei s t Y r
leyti	l ei: t I
leður	l E: D Y r
leðurblökuungi	l E: D Y r_0 p l 9 k Y u J c I
leðurblöðkumynd	l E: D Y r p l 9 T k Y m I n t
leðurhúfan	l E: D Y r h u v a n
leðurjakkanum	l E: D Y r j a h k a n Y m
leðurpakki	l E: D Y r p_h a h c I
leðursófa	l E: D Y r s ou f a
leó	l E: ou
leósdóttir	l E: ou s t ou h t I r
leósson	l E: ou s O n
life	l ai: f
lifi	l I: v I
lifir	l I: v I r
lifna	l I p n a
lifrarpylsu	l I v r a r_0 p_h I l s Y
lifum	l I: v Y m
lifði	l I v D I
lifðu	l I v D Y
ligg	l I k
liggi	l I c I
liggja	l I c a
liggjandi	l I c a n t I
liggjum	l I c Y m
liggur	l I k Y r
liggðu	l I G D Y
like	l ai: k
lilju	l I l j Y
lilleström	l I l E s t r 9 m
limman	l I m a n
limmu	l I m Y
limmuna	l I m Y n a
lind	l I n t
linda	l I n t a
lindasókn	l I n t a s ou h k n
lindubuff	l I n t Y p Y f
link	l i N_0 k
linka	l i N_0 k a
linkind	l i n c_h I n t
linkur	l i N_0 k Y r
linnulaust	l I n Y l 9i s t
lint	l I n_0 t
linur	l I: n Y r
lippu	l I h p Y
lipran	l I: p r a n
liprari	l I: p r a r I
lipur	l I: p Y r
lissabon	l I s a p O n
lista	l I s t a
listafólki	l I s t a f ou l_0 c I
listahátíð	l I s t a h au t_h i D
listaklúbbi	l I s t a k_h l u p I
listamaður	l I s t a m a D Y r
listamönnum	l I s t a m 9 n Y m
listamönnunum	l I s t a m 9 n O n Y m
listann	l I s t a n
listanna	l I s t a n a
listasafn	l I s t a s a p n_0
listasafni	l I s t a s a p n I
listasafnið	l I s t a s a p n I D
listasafnsins	l I s t a s a p n_0 s I n s
listastofnun	l I s t a s t O p n Y n
listavefurinn	l I s t a v E v Y r I n
listaverkabækur	l I s t a v E r_0 k a p ai k Y r
listaverkið	l I s t a v E r_0 c I D
listaverkum	l I s t a v E r_0 k Y m
listfengi	l I s t f ei J c I
listinn	l I s t I n
listir	l I s t I r
listmálari	l I s t m au l a r I
listnám	l I s t n au m
listrænan	l I s t r ai n a n
listrænn	l I s t r ai t n_0
listrænni	l I s t r ai t n I
listsköpun	l I s t s k 9 p Y n
listsköpunar	l I s t s k 9 p Y n a r
listum	l I s t Y m
lit	l I: t
lita	l I: t a
litar	l I: t a r
litarendurgjafarstuðul	l I: t a r E n t Y r c a v a r_0 s t Y D Y l
litarhætti	l I: t a r_0 h ai h t I
litarmerkingu	l I: t a r m E r_0 c i N k Y
litasamsetningin	l I: t a s a m s E h t n i J c I n
litbrigði	l I t p r I G D I
litfagurt	l I t f a G Y r_0 t
litið	l I: t I D
litla	l I h t l a
litlar	l I h t l a r
litlir	l I h t l I r
litlu	l I h t l Y
litlubrú	l I h t l Y p r u
litlum	l I h t l Y m
litninga	l I h t n i N k a
litríka	l I: t r i k a
litríkastir	l I: t r i k a s t I r
litríku	l I: t r i k Y
litríkum	l I: t r i k Y m
litróf	l I: t r ou f
litrófi	l I: t r ou v I
litrófs	l I: t r ou f s
litrófsgreiningu	l I: t r ou f s k r ei n i N k Y
litu	l I: t Y
live	l ai: v
liverpool	l I: v E r_0 p_h u l
liða	l I: D a
liðagigt	l I: D a c I x t
liðagigtar	l I: D a c I x t a r
liðanna	l I: D a n a
liðar	l I: D a r
liðhlaupar	l I D l_0 9i p a r
liði	l I: D I
liðin	l I: D I n
liðinni	l I: D I n I
liðinu	l I: D I n Y
liðir	l I: D I r
liðið	l I: D I D
liðka	l I T k a
liðlega	l I D l E G a
liðna	l I D n a
liðnar	l I D n a r
liðnir	l I D n I r
liðnu	l I D n Y
liðs	l I D s
liðsforingjann	l I D s f O r i J c a n
liðsfélaga	l I D s f j E l a G a
liðsfélagi	l I D s f j E l ai j I
liðsins	l I D s I n s
liðsmenn	l I D s m E n
liðsmönnum	l I D s m 9 n Y m
liðugir	l I: D Yi j I r
liðum	l I: D Y m
liðunum	l I: D O n Y m
ljóminn	l j ou: m I n
ljónshjarta	l j ou n s C a r_0 t a
ljósafoss	l j ou: s a f O s
ljósaskiptunum	l j ou: s a s c I f t O n Y m
ljóseinkenni	l j ou: s ei J c_h E n I
ljósi	l j ou: s I
ljósin	l j ou: s I n
ljóslaust	l j ou: s t l 9i s t
ljósleiðara	l j ou s t l ei D a r a
ljósmynd	l j ou s m I n t
ljósmyndasafns	l j ou s m I n t a s a p n_0 s
ljósmyndum	l j ou: s m I n t Y m
ljósmyndunarrúnt	l j ou s m I n t Y n a r u n_0 t
ljósmæður	l j ou s m ai D Y r
ljósrauðu	l j ou: s r 9i D Y
ljósrauðum	l j ou: s r 9i D Y m
ljósri	l j ou: s r I
ljósrit	l j ou: s r I t
ljósritunarvélar	l j ou: s r I t Y n a r v j E l a r
ljósrofnun	l j ou: s r O p n Y n
ljóss	l j ou s
ljóst	l j ou s t
ljósum	l j ou: s Y m
ljósvakans	l j ou: s v a k a n s
ljósvallagötuna	l j ou: s v a t l a k 9 t Y n a
ljósvallagötunni	l j ou: s v a t l a k 9 t Y n I
ljósviti	l j ou: s v I t I
ljótari	l j ou: t a r I
ljóðum	l j ou: D Y m
ljúfar	l j u: v a r
ljúfasta	l j u: v a s t a
ljúffeng	l j u f ei N k
ljúffengar	l j u f ei N k a r
ljúffengum	l j u f ei N k Y m
ljúfir	l j u: v I r
ljúflingur	l j u v l i N k Y r
ljúfs	l j u f s
ljúfum	l j u: v Y m
ljúfur	l j u: v Y r
ljúktu	l j u x t Y
lofar	l O: v a r
lofaði	l O: v a D I
loforð	l O: v O r D
lofsamlega	l O f s a m l E G a
loft	l O f t
lofta	l O f t a
loftfarinu	l O f t f a r I n Y
loftfirrðrar	l O f t f I r D r a r
loftflæðiuppsetningar	l O f t f l ai D I Y h p s E h t n i N k a r
lofthjúpnum	l O f t C u h p n Y m
lofthræddur	l O f t r_0 ai t Y r
lofti	l O f t I
loftleiðir	l O f t l ei D I r
loftleiðum	l O f t l ei D Y m
loftleki	l O f t l E c I
loftljósið	l O f t l j ou s I D
loftmengun	l O f t m ei N k Y n
loftsal	l O f t s a l
loftsalurinn	l O f t s a l Y r I n
loftsdóttir	l O f t s t ou h t I r
loftsins	l O f t s I n s
loftskipti	l O f t s c I f t I
loftslag	l O f t s t l a G
loftslagi	l O f t s t l ai j I
loftslagsbreytingar	l O f t s t l a x s p r ei t i N k a r
loftslagsins	l O f t s t l a x s I n s
loftslagsmálum	l O f t s t l a x s m au l Y m
loftsson	l O f t s O n
loftárás	l O f t au r au s
logann	l O: G a n
logarnir	l O: G a r t n I r
loggaði	l O k a D I
logn	l O k n_0
lokadeginum	l O: k a t ei j I n Y m
lokagengi	l O: k a c ei J c I
lokahnykkinn	l O: k a n_0 I h c I n
lokahófi	l O: k a h ou v I
lokakeppni	l O: k a c_h E h p n I
lokaleik	l O: k a l ei k
lokar	l O: k a r
lokaskýrslum	l O: k a s c i r_0 s t l Y m
lokaumferð	l O: k 9 a Y m f E r D
lokaumferðinni	l O: k a Y m f E r D I n I
lokað	l O: k a D
lokaði	l O: k a D I
lokaður	l O: k a D Y r
lokaþáttur	l O: k a T au h t Y r
loki	l O: c I
lokinni	l O: c I n I
lokið	l O: c I D
lokkana	l O h k a n a
lokkandi	l O h k a n t I
lokkur	l O h k Y r
loknum	l O h k n Y m
loks	l O k s
loksins	l O k s I n s
lokum	l O: k Y m
lokun	l O: k Y n
lokunni	l O: k Y n I
lokuð	l O: k Y D
lokuðum	l O: k Y D Y m
london	l O n t O n
loppa	l O h p a
loppunum	l O h p O n Y m
loppurnar	l O h p Y r t n a r
lortur	l O r_0 t Y r
losni	l O s t n I
lostahross	l O s t a r_0 O s
lostnir	l O s t n I r
lotning	l O h t n i N k
lottó	l O h t ou
lotu	l O: t Y
love	l O v
lovísa	l O: v i s a
loðinn	l O: D I n
loðna	l O D n a
loðnu	l O D n Y
loðnuvinnslunnar	l O D n Y v I n s t l Y n a r
lubba	l Y p a
lubbann	l Y p a n
lukka	l Y h k a
lukkunnar	l Y h k Y n a r
lukkupottinn	l Y h k Y p_h O h t I n
luktinni	l Y x t I n I
luktum	l Y x t Y m
lummur	l Y m Y r
lund	l Y n t
lundarreykjadal	l Y n t a r ei c a t a l
lundi	l Y n t I
lundúna	l Y n t u n a
lunga	l u N k a
lungna	l u N n a
lungnarýmd	l u N n a r i m t
lungnasjúkdóma	l u N n a s j u k t ou m a
lungnasjúklinga	l u N n a s j u h k l i N k a
lungnaígræðslu	l u N n a i k r ai D s t l Y
lungum	l u N k Y m
lungun	l u N k Y n
lungunum	l u N k O n Y m
lyf	l I: f
lyfin	l I: v I n
lyfið	l I: v I D
lyfja	l I v j a
lyfjafræðingur	l I v j a f r ai D i N k Y r
lyfjagras	l I v j a k r a s
lyfjakostnaði	l I v j a k_h O s t n a D I
lyfjapróf	l I v j a p_h r ou v
lyfjarannsóknir	l I v j a r a n s ou h k n I r
lyfjatæknabraut	l I v j a t_h ai h k n a p r 9i t
lyfjaverslun	l I v j a v E r_0 s t l Y n
lyfjaverslunar	l I v j a v E r_0 s t l Y n a r
lyfseðla	l I f s E D l a
lyft	l I f t
lyfta	l I f t a
lyfti	l I f t I
lyftistöng	l I f t I s t 9i N k
lygari	l I: G a r I
lygi	l i: j I
lygndi	l i N t I
lygnt	l i N_0 t
lykilatriði	l I: c I l a t r I D I
lykilhlutverk	l I: c I l l_0 Y t v E r_0 k
lykilhlutverki	l I: c I l l_0 Y t v E r_0 c I
lykill	l I: c I t l_0
lykillinn	l I: c I t l I n
lykilmaður	l I: c I l m a D Y r
lykilorð	l I: c I l O r D
lykkja	l I h c a
lykkjur	l I h c Y r
lyklaborð	l I h k l a p O r D
lykt	l I x t
lykta	l I x t a
lyktar	l I x t a r
lyktaði	l I x t a D I
lyktuðu	l I x t Y D Y
lyng	l i N k
lyngbak	l i N k p a k
lynghæna	l i N k h ai n a
lyngi	l i J c I
lyngið	l i J c I D
lyngási	l i N k au s I
lyngþúfur	l i n k T u v Y r
lyon	l i: O n
lyppast	l I h p a s t
lyst	l I s t
lystarlaus	l I s t a r l 9i s
lá	l au:
lága	l au: G a
lágafellskirkju	l au: G a f E l s c_h I r_0 c Y
lágafellsskóla	l au: G a f E l s k ou l a
lágafellssóknar	l au: G a f E l s ou h k n a r
lágar	l au: G a r
lágir	l au: j I r
láglendi	l au G l E n t I
lágmark	l au G m a r_0 k
lágmarka	l au: G m a r_0 k a
lágmarki	l au G m a r_0 c I
lágmarks	l au G m a r_0 k s
lágmarkslaun	l au G m a r_0 k s t l 9i n
lágmæltur	l au: G m ai l_0 t Y r
lágum	l au: Y m
lágur	l au: G Y r
lán	l au: n
lána	l au: n a
lánasamsetningu	l au: n a s a m s E h t n i N k Y
lánasjóðs	l au: n a s j ou D s
lánastofnana	l au: n a s t O p n a n a
lánað	l au: n a D
lánaður	l au: n a D Y r
láni	l au: n I
láninu	l au: n I n Y
láns	l au n s
lánsfé	l au n s f j E
lánsins	l au n s I n s
lántöku	l au n t_h 9 k Y
lánveitingar	l au n v ei t i N k a r
lára	l au: r a
láru	l au: r Y
lárus	l au: r Y s
lárusdóttir	l au: r Y s t ou h t I r
lárusdóttur	l au: r Y s t ou h t Y r
lárusson	l au: r Y s O n
lárussyni	l au: r Y s I n I
lát	l au: t
láta	l au: t a
látinn	l au: t I n
látinna	l au: t I n a
látist	l au: t I s t
látið	l au: t I D
látlaus	l au t l 9i s
látlausan	l au t l 9i s a n
látlausar	l au t l 9i s a r
látlaust	l au: t l 9i s t
látlausum	l au: t l 9i s Y m
látna	l au h t n a
láttu	l au h t Y
látæði	l au: t ai D I
lávarður	l au: v a r D Y r
læddumst	l ai t Y m s t
lægi	l ai j I
lægja	l ai j a
lægju	l ai j Y
lægra	l ai G r a
lægri	l ai G r I
lægst	l ai x s t
lægsta	l ai x s t a
lægstu	l ai x s t Y
lægð	l ai G D
lækjarbotnum	l ai: c a r_0 p O h t n Y m
lækjargötu	l ai: c a r k 9 t Y
lækjarskóla	l ai: c a r_0 s k ou l a
lækjum	l ai: c Y m
lækka	l ai h k a
lækkandi	l ai h k a n t I
lækkar	l ai h k a r
lækkað	l ai h k a D
lækkaðar	l ai h k a D a r
lækkaði	l ai h k a D I
lækkaðir	l ai h k a D I r
lækki	l ai h c I
lækkun	l ai h k Y n
lækkunar	l ai h k Y n a r
lækkuð	l ai h k Y D
lækkuðu	l ai h k Y D Y
læknadeild	l ai h k n a t ei l t
læknafélagsins	l ai h k n a f j E l a x s I n s
læknana	l ai h k n a n a
læknanna	l ai h k n a n a
læknar	l ai h k n a r
læknastofu	l ai h k n a s t O v Y
læknastofunni	l ai h k n a s t O v Y n I
læknavakt	l ai h k n a v a x t
læknavaktin	l ai h k n a v a x t I n
læknað	l ai h k n a D
lækni	l ai h k n I
lækning	l ai h k n i N k
læknir	l ai h k n I r
læknirinn	l ai h k n I r I n
læknis	l ai h k n I s
læknisfræði	l ai h k n I s f r ai D I
læknisfræðinnar	l ai h k n I s f r ai D I n a r
læknishendur	l ai h k n I s h E n t Y r
læknisins	l ai h k n I s I n s
læknisskoðun	l ai h k n I s k O D Y n
læknisvottorð	l ai h k n I s v O h t O r D
læknisþjónusta	l ai h k n I s T j ou n Y s t a
læknum	l ai h k n Y m
lækur	l ai: k Y r
læra	l ai: r a
lærdómsríkt	l ai r t ou m s r i x t
lærdómur	l ai r t ou m Y r
læri	l ai: r I
lærir	l ai: r I r
lærisveina	l ai: r I s v ei n a
lærisveinar	l ai: r I s v ei n a r
lærisveinn	l ai: r I s v ei t n_0
lærisveinum	l ai: r I s v ei n Y m
læsta	l ai s t a
læti	l ai: t I
lætur	l ai: t Y r
læða	l ai: D a
lék	l j E: k
léleg	l j E: l E G
lélegri	l j E: l E G r I
lélegt	l j E: l E x t
lélegu	l j E: l E G Y
lélegur	l j E: l E G Y r
lén	l j E: n
léreft	l j E: r E f t
lést	l j E s t
lét	l j E: t
létta	l j E h t a
léttar	l j E h t a r
léttilega	l j E h t I l E G a
léttir	l j E h t I r
léttirinn	l j E h t I r I n
léttleika	l j E h t l ei k a
léttreykt	l j E h t r ei x t
léttum	l j E h t Y m
léttur	l j E h t Y r
léttúð	l j E h t u D
létu	l j E: t Y
líbanon	l i: p a n O n
líbíu	l i: p i j Y
líf	l i: f
lífeyri	l i v ei r I
lífeyrisgreiðslur	l i: v ei r I s k r ei D s t l Y r
lífeyrisréttinda	l i: v ei r I s r j E h t I n t a
lífeyrisréttindi	l i: v ei r I s r j E h t I n t I
lífeyrissjóð	l i: v ei r I s j ou D
lífeyrissjóða	l i: v ei r I s j ou D a
lífeyrissjóðanna	l i: v ei r I s j ou D a n a
lífeyrissjóði	l i: v ei r I s j ou D I
lífeyrissjóðir	l i: v ei r I s j ou D I r
lífeyrissjóðirnir	l i: v ei r I s j ou D I r t n I r
lífeyrissjóðs	l i: v ei r I s j ou D s
lífeyrissjóðsins	l i: v ei r I s j ou D s I n s
lífeyrissjóðum	l i: v ei r I s j ou D Y m
lífeyrissjóður	l i: v ei r I s j ou D Y r
lífeðlisfræði	l i: v E D l I s f r ai D I
líffræði	l i f r ai D I
líffræðilegur	l i f r ai D I l E G Y r
líffræðingur	l i f r ai D i N k Y r
líffæri	l i f ai r I
líffærum	l i f ai r Y m
lífga	l i f k a
lífi	l i: v I
lífinu	l i: v I n Y
lífið	l i: v I D
líflegri	l i v l E G r I
lífrænn	l i v r ai t n_0
lífrænna	l i v r ai t n a
lífrænni	l i v r ai t n I
lífríki	l i v r i c I
lífs	l i f s
lífsaugað	l i f s 9i G a D
lífsbaráttan	l i f s p a r au h t a n
lífsbaráttunni	l i f s p a r au h t Y n I
lífsferil	l i f s f E r I l
lífsförunaut	l i f s f 9 r Y n 9i t
lífsglaða	l i f s k l a D a
lífsglaður	l i f s k l a D Y r
lífsgleði	l i f s k l E D I
lífsgleðin	l i f s k l E D I n
lífsglöð	l i f s k l 9 D
lífsgæði	l i f s c ai D I
lífshlaup	l i f s l_0 9i p
lífshætti	l i f s h ai h t I
lífshættu	l i f s h ai h t Y
lífskjör	l i f s c_h 9 r
lífsleikni	l i f s t l ei h k n I
lífslíkur	l i f s t l i k Y r
lífslöngun	l i f s t l 9i N k Y n
lífsnauðsyn	l i f s t n 9i D s I n
lífsorku	l i f s O r_0 k Y
lífsreynslu	l i f s r ei n s t l Y
lífsskoðun	l i f s k O D Y n
lífsspeki	l i f s p E c I
lífsstarfi	l i f s t a r v I
lífsstíl	l i f s t i l
lífstykki	l i f s t I h c I
lífstíð	l i f s t_h i D
lífstíðarfangelsi	l i f s t_h i D a r_0 f au J c E l s I
lífsþorsta	l i f s T O r_0 s t a
líftæknifyrirtæki	l i v t_h ai h k n I f I r I r_0 t_h ai c I
líftími	l i f t_h i m I
lífvera	l i v E r a
lík	l i: k
líkamann	l i: k_h a m a n
líkamans	l i: k_h a m a n s
líkamanum	l i: k a m a n Y m
líkaminn	l i: k a m I n
líkamlegu	l i: k a m l E G Y
líkamsleifar	l i: k a m s t l ei v a r
líkamsrækt	l i: k a m s r ai x t
líkamsræktarstöð	l i: k a m s r ai x t a r_0 s t 9 D
líkamsræktarstöðvar	l i: k a m s r ai x t a r_0 s t 9 D v a r
líkamsárás	l i: k_h a m s au r au s
líkar	l i: k a r
líkast	l i: k a s t
líkaði	l i: k a D I
líki	l i: c I
líkin	l i: c I n
líkingu	l i: c i N k Y
líkir	l i: c I r
líkja	l i: c a
líkjast	l i: c a s t
líkjör	l i: c_h 9 r
líkkistunni	l i: c_h I s t Y n I
líkkistusmiðurinn	l i: c_h I s t Y s m I D Y r I n
líkleg	l i: h k l E G
líklega	l i h k l E G a
líklegast	l i k l E G a s t
líklegir	l i h k l ei j I r
líklegra	l i h k l E G r a
líklegri	l i k l E G r I
líklegt	l i h k l E x t
líklegur	l i h k l E G Y r
líknandi	l i h k n a n t I
líknardeild	l i h k n a r_0 t ei l t
líknarmála	l i h k n a r m au l a
líkt	l i x t
líkti	l i x t I
líktust	l i x t Y s t
líkurnar	l i: k Y r t n a r
líma	l i: m a
línan	l i: n a n
líndal	l i n t a l
línkoln	l i N k O l n
línudanskennsla	l i: n Y t a n s c_h E n s t l a
línuna	l i: n Y n a
línunni	l i: n Y n I
línurnar	l i: n Y r t n a r
lítil	l i: t I l
lítillega	l i: t I l E G a
lítilli	l i: t I t l I
lítillátur	l i: t I l au t Y r
lítils	l i: t I l s
lítilsháttar	l i: t I l s h au h t a r
lítið	l i: t I D
lítrar	l i: t r a r
lítrinn	l i: t r I n
lítrum	l i: t r Y m
lítur	l i: t Y r
líðandi	l i: D a n t I
líður	l i: D Y r
líú	E t l i: u
lófa	l ou: v a
lófafylli	l ou: v a f I t l I
lófana	l ou: v a n a
lófann	l ou: v a n
lófanum	l ou: v a n Y m
lófatak	l ou: v a t_h a k
lófatölvur	l ou: v a t_h 9 l v Y r
lófunum	l ou: v O n Y m
lónið	l ou: n I D
lóurnar	l ou: Y r t n a r
lóuverksmiðjunni	l ou: Y v E r_0 k s m I D j Y n I
lóðir	l ou: D I r
lóðrétt	l ou D r j E h t
lóðum	l ou: D Y m
löbbuðu	l 9 p Y D Y
löbbuðum	l 9 p Y D Y m
lögaðila	l 9: G a D I l a
lögbrot	l 9 G p r O t
lögfest	l 9 G f E s t
lögfesta	l 9 x f E s t a
lögfræði	l 9 x f r ai D I
lögfræðinga	l 9 x f r ai D i N k a
lögfræðingnum	l 9 x f r ai D i N n Y m
lögfræðingur	l 9 x f r ai D i N k Y r
lögg	l 9 k
lögga	l 9 k a
löggildingarstofu	l 9 G c I l t i N k a r_0 s t O v Y
löggiltur	l 9 G c I l_0 t Y r
löggjafans	l 9 G c a v a n s
löggjafarvald	l 9 G c a v a r v a l t
löggjafarþingi	l 9 G c a f a r T i J c I
löggjafinn	l 9 G c a v I n
löggjöf	l 9 G c 9 f
löggurnar	l 9 k Y r t n a r
löggæsla	l 9 G c ai s t l a
löggæslan	l 9 G c ai s t l a n
lögin	l 9i j I n
löglega	l 9 G l E G a
löglegt	l 9 G l E x t
lögmanna	l 9 G m a n a
lögmaður	l 9 G m a D Y r
lögmaðurinn	l 9 G m a D Y r I n
lögmál	l 9 G m au l
lögmæti	l 9 G m ai t I
lögregla	l 9 G r E k l a
lögreglan	l 9 G r E k l a n
lögreglu	l 9 G r E k l Y
lögreglubílnum	l 9 G r E k l Y p i l n Y m
lögregluforingja	l 9 G r E k l Y f O r i J c a
lögreglufulltrúinn	l 9 G r E k l Y f Y t l_0 t_h r u I n
lögregluherinn	l 9 G r E k l Y h E r I n
lögregluhernum	l 9 G r E k l Y h E r t n Y m
lögreglumannanna	l 9 G r E k l Y m a n a n a
lögreglumanninum	l 9 G r E k l Y m a n I n Y m
lögreglumaður	l 9 G r E k l Y m a D Y r
lögreglumaðurinn	l 9 G r E k l Y m a D Y r I n
